"MKT","Alpha","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","max.quarter","SMB","HDY","QLT","MOM","ESG","LOV"
0.151309985203862,0.0217603786182283,2.58873309299374,51680974871.3224,55,55,NA,0,FALSE,TRUE,5335.66199999998,"HML","BO",40,NA,NA,NA,NA,NA,NA
0.606849952966413,0.0188438975399671,-0.439344457459143,1936296097.95284,34,34,NA,0,FALSE,TRUE,508.372999999992,"HML","DD",40,NA,NA,NA,NA,NA,NA
-0.816426390009888,0.0275824113648122,1.98962451189942,369206543.648168,57,57,NA,0,FALSE,TRUE,1876.67999999999,"HML","FOF",40,NA,NA,NA,NA,NA,NA
-1.32882993613018,0.0308356240448213,2.69717325202526,733352547.771337,50,50,NA,0,FALSE,TRUE,520.070999999996,"HML","INF",40,NA,NA,NA,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,818.369999999995,"HML","MEZZ",40,NA,NA,NA,NA,NA,NA
-1.80313636071453,0.0168947945119796,0.629859080740477,2242687321.96833,38,38,NA,0,FALSE,TRUE,432.603999999992,"HML","NATRES",40,NA,NA,NA,NA,NA,NA
0.582779364944762,0.0190849733050174,-0.35479546604615,2129517149.01719,32,32,NA,0,FALSE,TRUE,812.51999999999,"HML","PD",40,NA,NA,NA,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,9156.799,"HML","PE",40,NA,NA,NA,NA,NA,NA
-1.57345640749803,0.0313097484554985,1.60510866252849,10132984346.365,50,50,NA,0,FALSE,TRUE,1686.15100000001,"HML","RE",40,NA,NA,NA,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,475.442999999999,"HML","SEC",40,NA,NA,NA,NA,NA,NA
2.22071891342824,0.002361437150979,-1.06547188704576,4799064852.12838,34,34,NA,0,TRUE,TRUE,2361.014,"HML","VC",40,NA,NA,NA,NA,NA,NA
0.297911489196836,0.0324527889995901,NA,52024671521.6796,36,36,NA,0,FALSE,TRUE,3433.63699999999,"SMB","BO",40,-1.78922164949255,NA,NA,NA,NA,NA
0.278157512601246,0.0170924792247534,NA,1924563977.11526,49,49,NA,0,FALSE,TRUE,741.174999999988,"SMB","DD",40,0.841868527706739,NA,NA,NA,NA,NA
-0.0212825770492366,0.0484961847533644,NA,252004168.119707,66,66,NA,0,FALSE,TRUE,2130.125,"SMB","FOF",40,-4.59368301097356,NA,NA,NA,NA,NA
0.853401560111822,0.0325963444387829,NA,632983973.077948,49,49,NA,0,FALSE,TRUE,511.54800000001,"SMB","INF",40,-3.87726809464771,NA,NA,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,582.087,"SMB","MEZZ",40,NA,NA,NA,NA,NA,NA
-1.42419735514988,0.0190421544512992,NA,2229807220.35691,39,39,NA,0,TRUE,TRUE,446.360000000015,"SMB","NATRES",40,-0.966454225794878,NA,NA,NA,NA,NA
0.317100809388456,0.017536331020576,NA,2117905469.48866,42,42,NA,0,FALSE,TRUE,1062.96400000001,"SMB","PD",40,0.69599102672295,NA,NA,NA,NA,NA
0.0989499661916513,0.0329089268022267,NA,54485331803.6203,52,52,NA,0,FALSE,TRUE,8053.48800000001,"SMB","PE",40,-1.66973743611545,NA,NA,NA,NA,NA
-0.951093563214,0.0475796292276722,NA,9272724139.95719,57,57,NA,0,FALSE,TRUE,1916.05800000002,"SMB","RE",40,-3.55626438210393,NA,NA,NA,NA,NA
-0.989259047416567,0.0426452440111608,NA,363660805.149271,49,49,NA,0,FALSE,TRUE,593.881999999983,"SMB","SEC",40,-1.5041767586632,NA,NA,NA,NA,NA
1.73694877403042,0.0382004351766815,NA,3413412977.21211,45,45,NA,0,FALSE,TRUE,3223.47199999998,"SMB","VC",40,-6.18267766373837,NA,NA,NA,NA,NA
0.277018645016,0.0274335928655086,NA,53417742875.1444,50,50,NA,0,FALSE,FALSE,4781.60000000001,"HDY","BO",40,NA,-1.66148718206293,NA,NA,NA,NA
0.468615174745879,0.0196955331821698,NA,1952815328.48519,46,46,NA,0,FALSE,TRUE,702.108999999997,"HDY","DD",40,NA,0.214832957364382,NA,NA,NA,NA
-0.935127566404344,0.043041065647599,NA,350021304.451975,62,62,NA,0,FALSE,FALSE,2024.451,"HDY","FOF",40,NA,-5.01004870243607,NA,NA,NA,NA
-1.28691630343968,0.0275756032156362,NA,754809602.730753,59,59,NA,0,FALSE,TRUE,622.899000000005,"HDY","INF",40,NA,3.41696870960114,NA,NA,NA,NA
0.224758809917597,0.0239570249369174,NA,159803504.867869,54,54,NA,0,FALSE,TRUE,768.252000000008,"HDY","MEZZ",40,NA,-1.46298764570035,NA,NA,NA,NA
-1.9513823102252,0.0140326658377216,NA,2206418380.5737,51,51,NA,0,FALSE,TRUE,586.243000000017,"HDY","NATRES",40,NA,2.6719687646733,NA,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,1559.21799999999,"HDY","PD",40,NA,NA,NA,NA,NA,NA
-0.240983581073281,0.028828057339707,NA,56008063390.152,37,37,NA,0,FALSE,FALSE,5900.95699999999,"HDY","PE",40,NA,-0.982314739261477,NA,NA,NA,NA
-1.62466084434306,0.0370680678849958,NA,10235259584.9112,56,56,NA,0,FALSE,TRUE,1891.92199999999,"HDY","RE",40,NA,-1.68122835490909,NA,NA,NA,NA
-1.34216011678144,0.0386025049461866,NA,388573008.230231,36,36,NA,0,FALSE,FALSE,428.988000000012,"HDY","SEC",40,NA,-0.214676850405893,NA,NA,NA,NA
1.59538951135136,0.0130644362470576,NA,4422141728.94381,39,39,NA,0,FALSE,TRUE,2689.44700000001,"HDY","VC",40,NA,-3.85790121740345,NA,NA,NA,NA
-0.091023493405845,0.0245643767665367,NA,52996084188.2201,56,56,NA,0,FALSE,TRUE,5370.14799999999,"QLT","BO",40,NA,NA,-1.96359468020369,NA,NA,NA
0.962972587021308,0.0155118089350892,NA,1875267098.18988,46,46,NA,0,FALSE,TRUE,700.701000000001,"QLT","DD",40,NA,NA,1.02292569272685,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,2052.63900000002,"QLT","FOF",40,NA,NA,NA,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,576.44299999997,"QLT","INF",40,NA,NA,NA,NA,NA,NA
0.121272406732607,0.0196301405462535,NA,139967679.015838,41,41,NA,0,FALSE,TRUE,581.212,"QLT","MEZZ",40,NA,NA,-3.89788724585071,NA,NA,NA
-1.66211131994582,0.016965952442675,NA,2248115928.90572,23,23,NA,0,FALSE,TRUE,265.219000000041,"QLT","NATRES",40,NA,NA,0.392598570376167,NA,NA,NA
0.888330246518945,0.0162816892900724,NA,2077789581.16662,36,36,NA,0,FALSE,TRUE,923.777999999991,"QLT","PD",40,NA,NA,0.877458378473662,NA,NA,NA
-0.248256202391552,0.0255898307410574,NA,55808247217.7887,54,54,NA,0,FALSE,TRUE,8381.10700000002,"QLT","PE",40,NA,NA,-1.4317590800899,NA,NA,NA
-1.56242754331868,0.033745310293241,NA,10316608826.6576,55,55,NA,0,FALSE,TRUE,1842.587,"QLT","RE",40,NA,NA,0.747210930764753,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,493.556999999972,"QLT","SEC",40,NA,NA,NA,NA,NA,NA
2.6338203437954,-0.000283042154781975,NA,4648494617.32974,43,43,NA,0,TRUE,TRUE,2998.78000000003,"QLT","VC",40,NA,NA,2.61723045741305,NA,NA,NA
0.195677782565208,0.0213335350657032,NA,53779590734.7883,49,49,NA,0,FALSE,TRUE,4690.56099999999,"MOM","BO",40,NA,NA,NA,0.61828861124993,NA,NA
0.568459939256595,0.0184105548348417,NA,1954678843.81256,44,44,NA,0,FALSE,TRUE,668.619000000006,"MOM","DD",40,NA,NA,NA,0.252936539597168,NA,NA
-0.701831783735102,0.0439421833030388,NA,279057655.598697,67,67,NA,0,FALSE,TRUE,2239.76199999999,"MOM","FOF",40,NA,NA,NA,-3.18616163481839,NA,NA
-0.33426955360527,0.0392297262672506,NA,619147185.982766,43,43,NA,0,FALSE,TRUE,501.265000000014,"MOM","INF",40,NA,NA,NA,-3.58462826433599,NA,NA
0.292988379479976,0.0201112141761092,NA,162196771.819902,35,35,NA,0,FALSE,TRUE,524.219000000041,"MOM","MEZZ",40,NA,NA,NA,-0.0190922836083986,NA,NA
-1.68518292125566,0.0118396998564718,NA,2187130499.56964,53,53,NA,0,TRUE,TRUE,657.749000000011,"MOM","NATRES",40,NA,NA,NA,2.01746848139717,NA,NA
0.549955357492968,0.0187919084357443,NA,2142681488.45275,49,49,NA,0,FALSE,TRUE,1267.19800000003,"MOM","PD",40,NA,NA,NA,0.181523607398711,NA,NA
-0.0216225666328004,0.0233191089205371,NA,56318597552.2516,53,53,NA,0,FALSE,TRUE,8242.342,"MOM","PE",40,NA,NA,NA,0.430438811197573,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,1387.80800000002,"MOM","RE",40,NA,NA,NA,NA,NA,NA
-1.3295406974504,0.0372064989514857,NA,388424556.076695,30,30,NA,0,FALSE,TRUE,349.913,"MOM","SEC",40,NA,NA,NA,0.224195935482859,NA,NA
2.3667611916798,0.0264195848727894,NA,4294406815.5363,57,57,NA,0,TRUE,TRUE,3968.38,"MOM","VC",40,NA,NA,NA,-3.53657444448129,NA,NA
0.224776340500639,0.023573250604519,NA,53897456341.57,34,34,NA,0,FALSE,FALSE,3232.82899999997,"ESG","BO",40,NA,NA,NA,NA,-0.133851671222538,NA
1.14127499763281,0.0195819376926246,NA,1755948914.92005,43,43,NA,0,FALSE,FALSE,652.590000000026,"ESG","DD",40,NA,NA,NA,NA,-10.2185329548694,NA
-1.03523964253837,0.0316995446023585,NA,382440148.925416,44,44,NA,0,FALSE,FALSE,1443.85699999996,"ESG","FOF",40,NA,NA,NA,NA,-0.0275906344954444,NA
-0.418824800898877,0.0263207041536752,NA,818167569.757809,29,29,NA,0,FALSE,FALSE,306.29800000001,"ESG","INF",40,NA,NA,NA,NA,0.00940932850114947,NA
0.3142738402735,0.0199426072813585,NA,162080878.914318,22,22,NA,0,FALSE,FALSE,312.77999999997,"ESG","MEZZ",40,NA,NA,NA,NA,-0.0715973314040172,NA
-1.30153272545588,0.0226935439197284,NA,2131819058.81524,45,45,NA,0,FALSE,FALSE,511.510999999999,"ESG","NATRES",40,NA,NA,NA,NA,-19.5538673959279,NA
1.13313570725668,0.019747639258312,NA,1929886805.24015,65,65,NA,0,FALSE,FALSE,1728.37799999997,"ESG","PD",40,NA,NA,NA,NA,-10.2980024195815,NA
-0.190115234314221,0.026257410190736,NA,56324158078.7631,29,29,NA,0,FALSE,FALSE,4504.76999999996,"ESG","PE",40,NA,NA,NA,NA,-0.370999125219091,NA
-1.69819729958171,0.0340384794017834,NA,10354594354.8257,33,33,NA,0,FALSE,FALSE,1097.34900000005,"ESG","RE",40,NA,NA,NA,NA,-0.0183916915540797,NA
-1.33975402081631,0.0381144937075178,NA,390334476.05173,33,33,NA,0,FALSE,FALSE,391.625,"ESG","SEC",40,NA,NA,NA,NA,-0.0815137104764097,NA
2.36660297625745,0.0013934111229277,NA,4857562710.33196,24,24,NA,0,TRUE,FALSE,1663.05499999999,"ESG","VC",40,NA,NA,NA,NA,0.0379992527798578,NA
0.842098609402396,0.0138555608080669,NA,52563929518.0005,47,47,NA,0,FALSE,TRUE,4446.55599999998,"LOV","BO",40,NA,NA,NA,NA,NA,2.3494831119671
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,830.565000000002,"LOV","DD",40,NA,NA,NA,NA,NA,NA
0.319997577339138,0.0143989924635281,NA,333722303.87259,55,55,NA,0,FALSE,FALSE,1764.94099999999,"LOV","FOF",40,NA,NA,NA,NA,NA,3.890232145948
-0.760680543110663,0.0336643902900234,NA,803009827.243559,49,49,NA,0,FALSE,TRUE,512.579000000027,"LOV","INF",40,NA,NA,NA,NA,NA,-1.7235956706867
1.58289413229904,0.00390674028119645,NA,134764149.943305,53,53,NA,0,FALSE,TRUE,743.474999999977,"LOV","MEZZ",40,NA,NA,NA,NA,NA,3.18495343878659
-1.60106068814034,0.0149243633738736,NA,2244125366.17517,23,23,NA,0,FALSE,TRUE,263.912000000011,"LOV","NATRES",40,NA,NA,NA,NA,NA,0.508108005988977
0.768839701241744,0.0162948424895214,NA,2113422046.25651,33,33,NA,0,FALSE,TRUE,836.266000000003,"LOV","PD",40,NA,NA,NA,NA,NA,0.791723346301528
0.544926221740965,0.0164488428446744,NA,55266714187.0588,57,57,NA,0,FALSE,TRUE,8781.49300000002,"LOV","PE",40,NA,NA,NA,NA,NA,2.0069482280552
-0.922014807366279,0.0234796285463072,NA,10177162183.4341,53,53,NA,0,FALSE,TRUE,1782.446,"LOV","RE",40,NA,NA,NA,NA,NA,2.11150639197304
-0.887990004979816,0.0323413881371529,NA,384095684.833272,48,48,NA,0,FALSE,TRUE,571.180000000051,"LOV","SEC",40,NA,NA,NA,NA,NA,0.989712497929519
2.31601588190265,0.00213843226488231,NA,4857036367.10731,47,47,NA,0,TRUE,TRUE,3251.18400000001,"LOV","VC",40,NA,NA,NA,NA,NA,-0.152381595756827
