"MKT","ME","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","IA","ROE","EG"
1.38826606766094,1.53024701130344,75007257726.2028,11,11,NA,0,TRUE,TRUE,720.267,"ME","BO",NA,NA,NA
1.08370306863122,0.851191116878033,4082461330.49073,11,11,NA,0,TRUE,TRUE,112.106,"ME","DD",NA,NA,NA
1.6926175257339,1.34515291185096,798385411.209783,11,11,NA,0,TRUE,TRUE,243.432000000001,"ME","FOF",NA,NA,NA
1.41994794571642,0.563471413619646,2184599010.37773,9,9,NA,0,TRUE,TRUE,61.9349999999977,"ME","INF",NA,NA,NA
1.26800301326708,1.40699024305392,226312459.396476,8,8,NA,0,TRUE,TRUE,75.5030000000042,"ME","MEZZ",NA,NA,NA
-0.998248447530453,1.02211178353013,2486130256.88294,10,10,NA,0,TRUE,TRUE,76.7969999999987,"ME","NATRES",NA,NA,NA
1.03533925856458,0.931666438789548,4409838017.94887,10,10,NA,0,TRUE,TRUE,176.915999999997,"ME","PD",NA,NA,NA
1.33486926242057,1.55166678089314,81278653260.3287,9,9,NA,0,TRUE,TRUE,980.336000000003,"ME","PE",NA,NA,NA
-0.00785056859360632,1.62006872045819,16485337332.0505,21,21,NA,0,TRUE,TRUE,487.362000000001,"ME","RE",NA,NA,NA
0.761948795026818,2.14041693450032,1277906860.12737,9,9,NA,0,TRUE,TRUE,70.2550000000047,"ME","SEC",NA,NA,NA
2.75957523464255,-0.641985652680808,4334442327.41074,8,8,NA,0,TRUE,TRUE,390.877,"ME","VC",NA,NA,NA
2.25275969703511,NA,83848556432.9781,12,12,NA,0,TRUE,TRUE,796.288,"IA","BO",3.13823463143387,NA,NA
1.58523657824263,NA,4234059916.71214,10,10,NA,0,TRUE,TRUE,102.28899999999,"IA","DD",0.646275128256951,NA,NA
2.33251989740028,NA,809043457.564216,11,11,NA,0,TRUE,TRUE,244.097999999998,"IA","FOF",3.47159918103735,NA,NA
1.45079574974512,NA,2111786665.97321,10,10,NA,0,TRUE,TRUE,68.3850000000093,"IA","INF",2.29813602780288,NA,NA
1.99950340385595,NA,273495570.555884,10,10,NA,0,TRUE,TRUE,97.9369999999908,"IA","MEZZ",1.34488701008722,NA,NA
-0.606992426636129,NA,2485631831.45979,10,10,NA,0,TRUE,TRUE,78.8179999999993,"IA","NATRES",1.99697282045332,NA,NA
1.58447376495358,NA,4615945527.20434,9,9,NA,0,TRUE,TRUE,163.058999999994,"IA","PD",0.700150073777597,NA,NA
2.22274754171453,NA,91382451519.247,12,12,NA,0,TRUE,TRUE,1360.63100000001,"IA","PE",2.98956032952032,NA,NA
1.06014421382361,NA,17415001390.2227,10,10,NA,0,TRUE,TRUE,233.607000000004,"IA","RE",1.42815416297733,NA,NA
1.6484010491574,NA,1348673850.92658,12,12,NA,0,TRUE,TRUE,96.7859999999928,"IA","SEC",4.57135512332434,NA,NA
2.66497770124827,NA,4525112195.17722,10,10,NA,0,TRUE,TRUE,483.626000000004,"IA","VC",-0.165356289763115,NA,NA
2.58560296617835,NA,59178940718.1274,10,10,NA,0,TRUE,TRUE,672.476999999999,"ROE","BO",NA,2.95483339685655,NA
2.09600183285538,NA,2969328785.75903,9,9,NA,0,TRUE,TRUE,92.7449999999953,"ROE","DD",NA,2.56690492903389,NA
2.34020843564265,NA,550197599.147068,9,9,NA,0,TRUE,TRUE,202.256999999998,"ROE","FOF",NA,2.86641088779903,NA
1.57236734137763,NA,806671969.827002,9,9,NA,0,TRUE,TRUE,60.2090000000026,"ROE","INF",NA,6.19809456410175,NA
2.16468366110009,NA,182817958.60327,8,8,NA,0,TRUE,TRUE,76.8379999999888,"ROE","MEZZ",NA,2.28692937242891,NA
-0.113907812646415,NA,2197301141.29188,8,8,NA,0,TRUE,TRUE,62.2510000000038,"ROE","NATRES",NA,2.78230280876999,NA
2.08938541841846,NA,3206334631.96149,8,8,NA,0,TRUE,TRUE,140.748000000007,"ROE","PD",NA,2.55987333222908,NA
2.52600600235509,NA,62291829942.9413,10,10,NA,0,TRUE,TRUE,1105.02800000001,"ROE","PE",NA,3.01884412195915,NA
1.3204959921584,NA,13540864258.6236,9,9,NA,0,TRUE,TRUE,210.404999999999,"ROE","RE",NA,3.33116601416494,NA
2.82080897559229,NA,781290172.589372,10,10,NA,0,TRUE,TRUE,80.7850000000035,"ROE","SEC",NA,4.7690221388888,NA
2.61151704582039,NA,4497377393.16115,8,8,NA,0,TRUE,TRUE,392.428,"ROE","VC",NA,-0.337573512175131,NA
2.15673582904857,NA,72708387673.7095,11,11,NA,0,TRUE,TRUE,740.993000000002,"EG","BO",NA,NA,3.3573713160332
1.49131085277722,NA,2082648128.89191,10,10,NA,0,TRUE,TRUE,103.191000000006,"EG","DD",NA,NA,3.87610436000779
2.1971767697852,NA,685626254.708573,12,12,NA,0,TRUE,TRUE,267.985000000001,"EG","FOF",NA,NA,3.89009440479386
1.68610089693344,NA,1578241613.36774,9,9,NA,0,TRUE,TRUE,63.679999999993,"EG","INF",NA,NA,4.32842386799365
2.05096737737607,NA,233052034.303296,9,9,NA,0,TRUE,TRUE,86.3699999999953,"EG","MEZZ",NA,NA,2.88943018342529
-0.370497310158814,NA,2367535631.22974,11,11,NA,0,TRUE,TRUE,85.4539999999979,"EG","NATRES",NA,NA,3.67573025405531
1.49906482444947,NA,2378670551.37349,10,10,NA,0,TRUE,TRUE,166.415999999997,"EG","PD",NA,NA,3.8734534097493
2.10254261952142,NA,77744360203.2339,11,11,NA,0,TRUE,TRUE,1216.65299999999,"EG","PE",NA,NA,3.46863167298589
1.00566369072714,NA,14756686702.0364,10,10,NA,0,TRUE,TRUE,233.858999999997,"EG","RE",NA,NA,3.95356611961907
1.91151862712784,NA,1182092432.10845,11,11,NA,0,TRUE,TRUE,88.8679999999877,"EG","SEC",NA,NA,4.8234878611394
2.69847353129001,NA,4524946826.37001,9,9,NA,0,TRUE,TRUE,440.198999999993,"EG","VC",NA,NA,0.115361064730837
