"";"Date";"type";"idi.return";"factor.return";"total.return"
"1";1996-12-31;"BO";0;-0,0291095116467425;-0,0291095116467425
"2";1997-01-31;"BO";0;0,0107678535387662;0,0107678535387662
"3";1997-02-28;"BO";0;0,017789649469167;0,017789649469167
"4";1997-03-31;"BO";0;-0,0293799361398632;-0,0293799361398632
"5";1997-04-30;"BO";0;0,0488936981771438;0,0488936981771438
"6";1997-05-31;"BO";0;0,097201143199821;0,097201143199821
"7";1997-06-30;"BO";0;0,0777935874553693;0,0777935874553693
"8";1997-07-31;"BO";0;0,0652631708820416;0,0652631708820416
"9";1997-08-31;"BO";0;-0,102774719707929;-0,102774719707929
"10";1997-09-30;"BO";0;0,0791952388214274;0,0791952388214274
"11";1997-10-31;"BO";0;-0,0831588408051277;-0,0831588408051277
"12";1997-11-30;"BO";0;0,0253717911925481;0,0253717911925481
"13";1997-12-31;"BO";0,299948697879105;0,0131113489457014;0,313060046824806
"14";1998-01-31;"BO";0;0,0453191731347496;0,0453191731347496
"15";1998-02-28;"BO";0;0,105050479903264;0,105050479903264
"16";1998-03-31;"BO";0;0,0579962432726735;0,0579962432726735
"17";1998-04-30;"BO";0;0,0156911094528444;0,0156911094528444
"18";1998-05-31;"BO";0;-0,0212378318117583;-0,0212378318117583
"19";1998-06-30;"BO";0;0,0382101382203553;0,0382101382203553
"20";1998-07-31;"BO";-0,0966450081325147;-0,00556789979106198;-0,102212907923577
"21";1998-08-31;"BO";0;-0,204961641482584;-0,204961641482584
"22";1998-09-30;"BO";0;0,0286031599884503;0,0286031599884503
"23";1998-10-31;"BO";0;0,144852683176472;0,144852683176472
"24";1998-11-30;"BO";0;0,0920304788825962;0,0920304788825962
"25";1998-12-31;"BO";0;0,0736680572187126;0,0736680572187126
"26";1999-01-31;"BO";0;0,0354852937984296;0,0354852937984296
"27";1999-02-28;"BO";0;-0,0413919375638322;-0,0413919375638322
"28";1999-03-31;"BO";0,0148346251772527;0,068368323028858;0,0832029482061107
"29";1999-04-30;"BO";0;0,0591622781340464;0,0591622781340464
"30";1999-05-31;"BO";0;-0,058310463829201;-0,058310463829201
"31";1999-06-30;"BO";0,0312685066126288;0,0750196222415455;0,106288128854174
"32";1999-07-31;"BO";0;-0,00438863380741632;-0,00438863380741632
"33";1999-08-31;"BO";0;0,000843977005394179;0,000843977005394179
"34";1999-09-30;"BO";0,405924986312127;-0,0126356177096879;0,393289368602439
"35";1999-10-31;"BO";0;0,0825266005879752;0,0825266005879752
"36";1999-11-30;"BO";0;0,0445498503443681;0,0445498503443681
"37";1999-12-31;"BO";0,000688124503783168;0,124353862389131;0,125041986892915
"38";2000-01-31;"BO";0;-0,0871816864548747;-0,0871816864548747
"39";2000-02-29;"BO";0;0,00467068593504079;0,00467068593504079
"40";2000-03-31;"BO";0,0116433938422716;0,107184242452234;0,118827636294505
"41";2000-04-30;"BO";0;-0,0701075523850698;-0,0701075523850698
"42";2000-05-31;"BO";0;-0,0408456213944014;-0,0408456213944014
"43";2000-06-30;"BO";0,0429416630207398;0,0572790662446779;0,100220729265418
"44";2000-07-31;"BO";0;-0,0485862955185168;-0,0485862955185168
"45";2000-08-31;"BO";0;0,0487656097460528;0,0487656097460528
"46";2000-09-30;"BO";0,00074434508062429;-0,0880810346816564;-0,0873366896010321
"47";2000-10-31;"BO";0;-0,0313219983234643;-0,0313219983234643
"48";2000-11-30;"BO";0;-0,105479954826024;-0,105479954826024
"49";2000-12-31;"BO";0;0,0178308671612793;0,0178308671612793
"50";2001-01-31;"BO";0;0,0412240269578018;0,0412240269578018
"51";2001-02-28;"BO";0;-0,150909142035123;-0,150909142035123
"52";2001-03-31;"BO";0,0214170093877559;-0,109147591658432;-0,0877305822706758
"53";2001-04-30;"BO";0;0,121977056617786;0,121977056617786
"54";2001-05-31;"BO";0;-0,026866444458068;-0,026866444458068
"55";2001-06-30;"BO";0;-0,0539852732175885;-0,0539852732175885
"56";2001-07-31;"BO";0;-0,0224206158572874;-0,0224206158572874
"57";2001-08-31;"BO";0;-0,0838545816478806;-0,0838545816478806
"58";2001-09-30;"BO";0;-0,136824109891366;-0,136824109891366
"59";2001-10-31;"BO";0;0,0364965819589551;0,0364965819589551
"60";2001-11-30;"BO";0;0,0999042617289958;0,0999042617289958
"61";2001-12-31;"BO";0;0,00514747976821796;0,00514747976821796
"62";2002-01-31;"BO";0;-0,0528950607804537;-0,0528950607804537
"63";2002-02-28;"BO";0;-0,016772237315697;-0,016772237315697
"64";2002-03-31;"BO";0;0,0657110807370935;0,0657110807370935
"65";2002-04-30;"BO";0;-0,0618342266819381;-0,0618342266819381
"66";2002-05-31;"BO";0;0,00238133003875523;0,00238133003875523
"67";2002-06-30;"BO";0;-0,0978326987862667;-0,0978326987862667
"68";2002-07-31;"BO";0;-0,128959162854196;-0,128959162854196
"69";2002-08-31;"BO";0;0,00193691562970584;0,00193691562970584
"70";2002-09-30;"BO";0;-0,178495848637493;-0,178495848637493
"71";2002-10-31;"BO";-0,0058316378450416;0,129079696285222;0,123248058440181
"72";2002-11-30;"BO";0;0,0928013768483422;0,0928013768483422
"73";2002-12-31;"BO";0;-0,0801147452475118;-0,0801147452475118
"74";2003-01-31;"BO";0;-0,0459908584768948;-0,0459908584768948
"75";2003-02-28;"BO";0;-0,0260864209300431;-0,0260864209300431
"76";2003-03-31;"BO";0;-0,00469272752577522;-0,00469272752577522
"77";2003-04-30;"BO";0;0,138769379448645;0,138769379448645
"78";2003-05-31;"BO";0;0,0870759326113669;0,0870759326113669
"79";2003-06-30;"BO";0;0,0275084947474975;0,0275084947474975
"80";2003-07-31;"BO";0;0,0344638255462918;0,0344638255462918
"81";2003-08-31;"BO";0;0,0337553308396446;0,0337553308396446
"82";2003-09-30;"BO";0;0,00889391063717845;0,00889391063717845
"83";2003-10-31;"BO";0;0,0933650084391886;0,0933650084391886
"84";2003-11-30;"BO";0;0,023070437264392;0,023070437264392
"85";2003-12-31;"BO";0;0,100585735841497;0,100585735841497
"86";2004-01-31;"BO";0;0,0262080071903601;0,0262080071903601
"87";2004-02-29;"BO";0;0,0230093224355971;0,0230093224355971
"88";2004-03-31;"BO";0;-0,0160104377420764;-0,0160104377420764
"89";2004-04-30;"BO";0;-0,0320280187269096;-0,0320280187269096
"90";2004-05-31;"BO";0;0,0158607749758186;0,0158607749758186
"91";2004-06-30;"BO";0;0,0295427652255087;0,0295427652255087
"92";2004-07-31;"BO";-0,0539280856770713;-0,0534702383614868;-0,107398324038558
"93";2004-08-31;"BO";0;0,00420970495891345;0,00420970495891345
"94";2004-09-30;"BO";0;0,0279440337459877;0,0279440337459877
"95";2004-10-31;"BO";-0,0313548724782321;0,0407051302665315;0,00935025778829942
"96";2004-11-30;"BO";0;0,0801926072756659;0,0801926072756659
"97";2004-12-31;"BO";0;0,060373208162896;0,060373208162896
"98";2005-01-31;"BO";-0,0606588731811553;-0,0387568378732787;-0,0994157110544341
"99";2005-02-28;"BO";0;0,042119837765063;0,042119837765063
"100";2005-03-31;"BO";0;-0,0298941200058274;-0,0298941200058274
"101";2005-04-30;"BO";0;-0,0317426668875764;-0,0317426668875764
"102";2005-05-31;"BO";0;0,0270176683062408;0,0270176683062408
"103";2005-06-30;"BO";0;0,0067462303695766;0,0067462303695766
"104";2005-07-31;"BO";0;0,0543484261496547;0,0543484261496547
"105";2005-08-31;"BO";0;0,0116508732001728;0,0116508732001728
"106";2005-09-30;"BO";0;0,0384499155175856;0,0384499155175856
"107";2005-10-31;"BO";0;-0,0346730860161266;-0,0346730860161266
"108";2005-11-30;"BO";0;0,0524603487625536;0,0524603487625536
"109";2005-12-31;"BO";0;0,0305524710598199;0,0305524710598199
"110";2006-01-31;"BO";0;0,0673068043080278;0,0673068043080278
"111";2006-02-28;"BO";0;-0,00120936030029478;-0,00120936030029478
"112";2006-03-31;"BO";0,0354193147259364;0,0318689220921228;0,0672882368180592
"113";2006-04-30;"BO";0;0,0504451782037998;0,0504451782037998
"114";2006-05-31;"BO";0;-0,0473744320213826;-0,0473744320213826
"115";2006-06-30;"BO";0,126155538812354;-0,000867844090584778;0,12528769472177
"116";2006-07-31;"BO";0;0,00872472801616309;0,00872472801616309
"117";2006-08-31;"BO";0;0,0424084441449768;0,0424084441449768
"118";2006-09-30;"BO";0,0832135845473746;0,0200710746929724;0,103284659240347
"119";2006-10-31;"BO";0;0,0547417863628252;0,0547417863628252
"120";2006-11-30;"BO";0;0,038494553425847;0,038494553425847
"121";2006-12-31;"BO";0,121650913792155;0,0278236735855422;0,149474587377698
"122";2007-01-31;"BO";0;0,0176132825648324;0,0176132825648324
"123";2007-02-28;"BO";0;-0,0070745689343783;-0,0070745689343783
"124";2007-03-31;"BO";0,327678504351684;0,026470270053582;0,354148774405266
"125";2007-04-30;"BO";0;0,0707263470094392;0,0707263470094392
"126";2007-05-31;"BO";0;0,0449067249752966;0,0449067249752966
"127";2007-06-30;"BO";0,0231509732529805;-0,00940744339288874;0,0137435298600918
"128";2007-07-31;"BO";0;-0,0315406934549513;-0,0315406934549513
"129";2007-08-31;"BO";0;0,000815861196072955;0,000815861196072955
"130";2007-09-30;"BO";0;0,0752954907229617;0,0752954907229617
"131";2007-10-31;"BO";0;0,0499984556941707;0,0499984556941707
"132";2007-11-30;"BO";0;-0,0616552974320836;-0,0616552974320836
"133";2007-12-31;"BO";0;-0,0230579498520002;-0,0230579498520002
"134";2008-01-31;"BO";-0,0304750428169787;-0,116226751114664;-0,146701793931642
"135";2008-02-29;"BO";0;-0,00874347524847845;-0,00874347524847845
"136";2008-03-31;"BO";0;-0,0108556130420516;-0,0108556130420516
"137";2008-04-30;"BO";-0,0396488111067808;0,0704517860249306;0,0308029749181499
"138";2008-05-31;"BO";0;0,0316721605109754;0,0316721605109754
"139";2008-06-30;"BO";0;-0,130287809047883;-0,130287809047883
"140";2008-07-31;"BO";-0,0271944397719669;-0,0297340733124983;-0,0569285130844652
"141";2008-08-31;"BO";0;-0,0205186981086287;-0,0205186981086287
"142";2008-09-30;"BO";0;-0,177394451999787;-0,177394451999787
"143";2008-10-31;"BO";-0,00218703470672001;-0,299485809747956;-0,301672844454676
"144";2008-11-30;"BO";0;-0,104496017318823;-0,104496017318823
"145";2008-12-31;"BO";0;0,0506876602099653;0,0506876602099653
"146";2009-01-31;"BO";0;-0,135752366687373;-0,135752366687373
"147";2009-02-28;"BO";0;-0,155975862509292;-0,155975862509292
"148";2009-03-31;"BO";0;0,124216717172617;0,124216717172617
"149";2009-04-30;"BO";-0,00563186940961494;0,186014203720483;0,180382334310868
"150";2009-05-31;"BO";0;0,15082414736169;0,15082414736169
"151";2009-06-30;"BO";0;-0,00550505860854309;-0,00550505860854309
"152";2009-07-31;"BO";0;0,14558762871371;0,14558762871371
"153";2009-08-31;"BO";0;0,0617991437128248;0,0617991437128248
"154";2009-09-30;"BO";0;0,0646165757859751;0,0646165757859751
"155";2009-10-31;"BO";0;-0,0266922261217236;-0,0266922261217236
"156";2009-11-30;"BO";0;0,0634257876947109;0,0634257876947109
"157";2009-12-31;"BO";0;0,0286243523999917;0,0286243523999917
"158";2010-01-31;"BO";0;-0,0661477963832015;-0,0661477963832015
"159";2010-02-28;"BO";0;0,017345814386137;0,017345814386137
"160";2010-03-31;"BO";0;0,0982378307590274;0,0982378307590274
"161";2010-04-30;"BO";0;0,00414750080842547;0,00414750080842547
"162";2010-05-31;"BO";0;-0,156299235294969;-0,156299235294969
"163";2010-06-30;"BO";0;-0,0512917050177454;-0,0512917050177454
"164";2010-07-31;"BO";-0,00875516598551985;0,133867700184612;0,125112534199092
"165";2010-08-31;"BO";0;-0,0670632779799557;-0,0670632779799557
"166";2010-09-30;"BO";0;0,144959888185557;0,144959888185557
"167";2010-10-31;"BO";0;0,0588905394403901;0,0588905394403901
"168";2010-11-30;"BO";0;-0,0391738957892142;-0,0391738957892142
"169";2010-12-31;"BO";0;0,113492724761667;0,113492724761667
"170";2011-01-31;"BO";0;0,0331709718959604;0,0331709718959604
"171";2011-02-28;"BO";0;0,0470324589343084;0,0470324589343084
"172";2011-03-31;"BO";0;-0,0183911707733239;-0,0183911707733239
"173";2011-04-30;"BO";0;0,0671249770202598;0,0671249770202598
"174";2011-05-31;"BO";0;-0,0339273002117816;-0,0339273002117816
"175";2011-06-30;"BO";0,0167391076890001;-0,0249085000208776;-0,00816939233187754
"176";2011-07-31;"BO";-0,0032648879725024;-0,0281806086907276;-0,03144549666323
"177";2011-08-31;"BO";0;-0,114103544080358;-0,114103544080358
"178";2011-09-30;"BO";0;-0,132495630352867;-0,132495630352867
"179";2011-10-31;"BO";0;0,170870763190692;0,170870763190692
"180";2011-11-30;"BO";0;-0,038194613747523;-0,038194613747523
"181";2011-12-31;"BO";0,000312350931748041;-0,0140500224338355;-0,0137376715020875
"182";2012-01-31;"BO";0;0,0814907356186211;0,0814907356186211
"183";2012-02-29;"BO";0;0,0752053918743975;0,0752053918743975
"184";2012-03-31;"BO";0;0,0186200024284748;0,0186200024284748
"185";2012-04-30;"BO";0;-0,0183741557498678;-0,0183741557498678
"186";2012-05-31;"BO";0;-0,144055788691163;-0,144055788691163
"187";2012-06-30;"BO";0;0,072571745847655;0,072571745847655
"188";2012-07-31;"BO";-0,00833890389739168;0,0165277823981125;0,00818887850072078
"189";2012-08-31;"BO";0;0,0432146159351086;0,0432146159351086
"190";2012-09-30;"BO";0;0,038686093344349;0,038686093344349
"191";2012-10-31;"BO";-0,000149653398094319;-0,00690301523180736;-0,00705266862990168
"192";2012-11-30;"BO";0;0,026191395238776;0,026191395238776
"193";2012-12-31;"BO";0;0,0389690525094522;0,0389690525094522
"194";2013-01-31;"BO";-0,000778572288487415;0,0888305996560057;0,0880520273675183
"195";2013-02-28;"BO";0;0,00210122825308872;0,00210122825308872
"196";2013-03-31;"BO";0;0,037968347181732;0,037968347181732
"197";2013-04-30;"BO";0;0,0494227474252821;0,0494227474252821
"198";2013-05-31;"BO";0;0,00445390755793829;0,00445390755793829
"199";2013-06-30;"BO";0;-0,0370951820318348;-0,0370951820318348
"200";2013-07-31;"BO";-0,00829990657827649;0,0799833818132944;0,0716834752350179
"201";2013-08-31;"BO";0;-0,0322621657332743;-0,0322621657332743
"202";2013-09-30;"BO";0;0,0781842250199405;0,0781842250199405
"203";2013-10-31;"BO";-0,0161547109051881;0,0614113070886017;0,0452565961834135
"204";2013-11-30;"BO";0;0,0240968105681011;0,0240968105681011
"205";2013-12-31;"BO";0;0,0316324121609559;0,0316324121609559
"206";2014-01-31;"BO";-0,0401738281318438;-0,0595625542725304;-0,0997363824043742
"207";2014-02-28;"BO";0;0,0799964346699188;0,0799964346699188
"208";2014-03-31;"BO";0;0,00521288960908391;0,00521288960908391
"209";2014-04-30;"BO";-0,00132274567744323;0,0165566107992432;0,0152338651217999
"210";2014-05-31;"BO";0;0,0328078286272667;0,0328078286272667
"211";2014-06-30;"BO";0;0,0267400184126646;0,0267400184126646
"212";2014-07-31;"BO";-0,00694796319101092;-0,022130397165684;-0,029078360356695
"213";2014-08-31;"BO";0;0,0323256883452505;0,0323256883452505
"214";2014-09-30;"BO";0;-0,044781362975764;-0,044781362975764
"215";2014-10-31;"BO";0;0,00797477502345452;0,00797477502345452
"216";2014-11-30;"BO";0;0,0296395549853731;0,0296395549853731
"217";2014-12-31;"BO";0;-0,0260705824513121;-0,0260705824513121
"218";2015-01-31;"BO";-0,000345648286594257;-0,0297028277768068;-0,030048476063401
"219";2015-02-28;"BO";0;0,0870874741192833;0,0870874741192833
"220";2015-03-31;"BO";0;-0,0200232653918512;-0,0200232653918512
"221";2015-04-30;"BO";0;0,0342840675612082;0,0342840675612082
"222";2015-05-31;"BO";0;0,00325655045808569;0,00325655045808569
"223";2015-06-30;"BO";0;-0,0359941319201523;-0,0359941319201523
"224";2015-07-31;"BO";0;0,0262763251189865;0,0262763251189865
"225";2015-08-31;"BO";0;-0,101085375742543;-0,101085375742543
"226";2015-09-30;"BO";0;-0,0555403271249244;-0,0555403271249244
"227";2015-10-31;"BO";0;0,123881470283469;0,123881470283469
"228";2015-11-30;"BO";0;-0,00809444155211729;-0,00809444155211729
"229";2015-12-31;"BO";0;-0,0281336734655965;-0,0281336734655965
"230";2016-01-31;"BO";0;-0,0968523371997294;-0,0968523371997294
"231";2016-02-29;"BO";0;-0,010072443066024;-0,010072443066024
"232";2016-03-31;"BO";0;0,111267673672909;0,111267673672909
"233";2016-04-30;"BO";0;0,028336996451023;0,028336996451023
"234";2016-05-31;"BO";0;0,00802143446396543;0,00802143446396543
"235";2016-06-30;"BO";0;-0,0279675597095552;-0,0279675597095552
"236";2016-07-31;"BO";0;0,0683195136186626;0,0683195136186626
"237";2016-08-31;"BO";0;0,00813219374002;0,00813219374002
"238";2016-09-30;"BO";0;0,00560087323155025;0,00560087323155025
"239";2016-10-31;"BO";0;-0,0330359079862178;-0,0330359079862178
"240";2016-11-30;"BO";0;0,024194445874646;0,024194445874646
"241";2016-12-31;"BO";0,00192628419201387;0,0345401608292487;0,0364664450212626
"242";2017-01-31;"BO";0;0,0360353206012734;0,0360353206012734
"243";2017-02-28;"BO";0;0,0386632068014501;0,0386632068014501
"244";2017-03-31;"BO";0,0152933151274183;0,0173377485438858;0,0326310636713041
"245";2017-04-30;"BO";0;0,024560875651397;0,024560875651397
"246";2017-05-31;"BO";0;0,030525650329253;0,030525650329253
"247";2017-06-30;"BO";0;0,00747030348074929;0,00747030348074929
"248";2017-07-31;"BO";0;0,0419298609068244;0,0419298609068244
"249";2017-08-31;"BO";0;-0,00319666379666676;-0,00319666379666676
"250";2017-09-30;"BO";0;0,0367511142227544;0,0367511142227544
"251";2017-10-31;"BO";0;0,0269491950940526;0,0269491950940526
"252";2017-11-30;"BO";0;0,0309254750347218;0,0309254750347218
"253";2017-12-31;"BO";0;0,0215265395055483;0,0215265395055483
"254";2018-01-31;"BO";0;0,081242643148043;0,081242643148043
"255";2018-02-28;"BO";0;-0,0681371218312422;-0,0681371218312422
"256";2018-03-31;"BO";0,00131230165850974;-0,0249447952198653;-0,0236324935613555
"257";2018-04-30;"BO";0;0,0180764350689655;0,0180764350689655
"258";2018-05-31;"BO";0;0,00125629004204863;0,00125629004204863
"259";2018-06-30;"BO";0,03378634666589;8,81835823971148e-05;0,0338745302482871
"260";2018-07-31;"BO";0;0,0528038175830458;0,0528038175830458
"261";2018-08-31;"BO";0;0,0146605123978955;0,0146605123978955
"262";2018-09-30;"BO";0;0,00734514714922061;0,00734514714922061
"263";2018-10-31;"BO";0;-0,116239901069563;-0,116239901069563
"264";2018-11-30;"BO";0;0,0342550992843849;0,0342550992843849
"265";2018-12-31;"BO";0;-0,113173862773684;-0,113173862773684
"266";2019-01-31;"BO";0;0,116359824131125;0,116359824131125
"267";2019-02-28;"BO";0;0,0486023480478211;0,0486023480478211
"268";2019-03-31;"BO";0;0,0184952556596802;0,0184952556596802
"269";2019-04-30;"BO";0;0,0578558087799718;0,0578558087799718
"270";2019-05-31;"BO";0;-0,0866711250320725;-0,0866711250320725
"271";2019-06-30;"BO";0;0,10046825100339;0,10046825100339
"272";2019-07-31;"BO";0;0,00934798550091658;0,00934798550091658
"273";2019-08-31;"BO";0;-0,0261651298830528;-0,0261651298830528
"274";2019-09-30;"BO";0,00488369510030482;0,0366140883141034;0,0414977834144082
"275";2019-10-31;"BO";0;0,0425130200124593;0,0425130200124593
"276";2019-11-30;"BO";0;0,0442385987512911;0,0442385987512911
"277";2019-12-31;"BO";0;0,0475968576002139;0,0475968576002139
"278";2020-01-31;"BO";0;-0,00194869103502688;-0,00194869103502688
"279";2020-02-29;"BO";0;-0,122125766974202;-0,122125766974202
"280";2020-03-31;"BO";0;-0,196213912074983;-0,196213912074983
"281";2020-04-30;"BO";0;0,16782027182028;0,16782027182028
"282";2020-05-31;"BO";0;0,0806846066684028;0,0806846066684028
"283";2020-06-30;"BO";0;0,0414573128409305;0,0414573128409305
"284";2020-07-31;"BO";0;0,064181569306449;0,064181569306449
"285";2020-08-31;"BO";0;0,109560230820047;0,109560230820047
"286";2020-09-30;"BO";0;-0,0521448687452217;-0,0521448687452217
"287";2020-10-31;"BO";0;-0,0519832041801061;-0,0519832041801061
"288";2020-11-30;"BO";0;0,198550319449173;0,198550319449173
"289";2020-12-31;"BO";0;0,064070198443027;0,064070198443027
"290";2021-01-31;"BO";0;-0,0157099524369506;-0,0157099524369506
"291";2021-02-28;"BO";0;0,044894952905029;0,044894952905029
"292";2021-03-31;"BO";0;0,0545293975050274;0,0545293975050274
"293";2021-04-30;"BO";0;0,0707073682914102;0,0707073682914102
"294";2021-05-31;"BO";0;0,0258178812976164;0,0258178812976164
"295";2021-06-30;"BO";0,0167981607484107;0,0272078929582359;0,0440060537066466
"296";2021-07-31;"BO";0;0,0361251600386904;0,0361251600386904
"297";2021-08-31;"BO";0;0,0441432681417992;0,0441432681417992
"298";2021-09-30;"BO";0;-0,066544660215636;-0,066544660215636
"299";2021-10-31;"BO";0;0,114190568122971;0,114190568122971
"300";2021-11-30;"BO";0;-0,036428728790484;-0,036428728790484
"301";2021-12-31;"BO";0;0,0664330823798942;0,0664330823798942
"302";2022-01-31;"BO";-0,0493370185966489;-0,0928304523068753;-0,142167470903524
"303";2022-02-28;"BO";0;-0,0496898493711198;-0,0496898493711198
"304";2022-03-31;"BO";0;0,0431330129080021;0,0431330129080021
"305";2022-04-30;"BO";0;-0,132176434742445;-0,132176434742445
"306";2022-05-31;"BO";0;-0,00681346710341987;-0,00681346710341987
"307";2022-06-30;"BO";0,53848680896407;-0,130076541855081;0,408410267108988
